trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.21793,  53.00000,   5.13833,  10.88958,   0.61684,  18.74113,  10.35156,   5.14102,  18.78354,  10.29675,   7.29092,   0.00000,   0.00000,   0.00000,   1.00000,   0.21793,  53.00000,   4.09325, -10.76066,   0.62253,  18.90076,   9.37638,   4.84838,  19.35972,   9.54127,   7.13026,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.22202,  54.00000,   5.13860,  10.88956,   0.61693,  18.74086,  10.35154,   5.14111,  18.78327,  10.29672,   7.29083,   0.00000,   0.00000,   0.00000,   1.00000,   0.22202,  54.00000,   4.09312, -10.76044,   0.62276,  18.90090,   9.37616,   4.84861,  19.35985,   9.54104,   7.13003,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.22629,  55.00000,   5.13844,  10.88966,   0.61692,  18.74102,  10.35164,   5.14109,  18.78343,  10.29683,   7.29085,   0.00000,   0.00000,   0.00000,   1.00000,   0.22629,  55.00000,   4.09298, -10.76027,   0.62285,  18.90103,   9.37598,   4.84870,  19.35999,   9.54087,   7.12994,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.23041,  56.00000,   5.13845,  10.88970,   0.61696,  18.74101,  10.35168,   5.14114,  18.78342,  10.29686,   7.29080,   0.00000,   0.00000,   0.00000,   1.00000,   0.23041,  56.00000,   4.09287, -10.76007,   0.62309,  18.90115,   9.37579,   4.84894,  19.36010,   9.54067,   7.12970,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.23455,  57.00000,   5.13838,  10.88974,   0.61701,  18.74108,  10.35172,   5.14119,  18.78349,  10.29690,   7.29075,   0.00000,   0.00000,   0.00000,   1.00000,   0.23455,  57.00000,   4.09296, -10.75980,   0.62312,  18.90105,   9.37551,   4.84896,  19.36000,   9.54040,   7.12968,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.23879,  58.00000,   5.13834,  10.88976,   0.61710,  18.74111,  10.35174,   5.14127,  18.78353,  10.29693,   7.29067,   0.00000,   0.00000,   0.00000,   1.00000,   0.23879,  58.00000,   4.09289, -10.75971,   0.62324,  18.90113,   9.37542,   4.84909,  19.36008,   9.54031,   7.12955,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.24292,  59.00000,   5.13827,  10.88980,   0.61704,  18.74119,  10.35178,   5.14122,  18.78360,  10.29697,   7.29072,   0.00000,   0.00000,   0.00000,   1.00000,   0.24292,  59.00000,   4.09282, -10.75960,   0.62348,  18.90119,   9.37531,   4.84933,  19.36014,   9.54020,   7.12931,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.24703,  60.00000,   5.13829,  10.88981,   0.61689,  18.74116,  10.35179,   5.14107,  18.78358,  10.29698,   7.29087,   0.00000,   0.00000,   0.00000,   1.00000,   0.24703,  60.00000,   4.09287, -10.75947,   0.62344,  18.90115,   9.37518,   4.84929,  19.36010,   9.54007,   7.12935,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.25128,  61.00000,   5.13838,  10.88976,   0.61688,  18.74108,  10.35174,   5.14106,  18.78349,  10.29692,   7.29088,   0.00000,   0.00000,   0.00000,   1.00000,   0.25128,  61.00000,   4.09268, -10.75945,   0.62375,  18.90133,   9.37517,   4.84960,  19.36028,   9.54005,   7.12904,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.25541,  62.00000,   5.13850,  10.88970,   0.61677,  18.74096,  10.35168,   5.14094,  18.78337,  10.29686,   7.29099,   0.00000,   0.00000,   0.00000,   1.00000,   0.25541,  62.00000,   4.09280, -10.75931,   0.62381,  18.90121,   9.37502,   4.84966,  19.36016,   9.53991,   7.12898,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.25954,  63.00000,   5.13849,  10.88966,   0.61678,  18.74097,  10.35164,   5.14096,  18.78338,  10.29682,   7.29098,   0.00000,   0.00000,   0.00000,   1.00000,   0.25954,  63.00000,   4.09285, -10.75922,   0.62394,  18.90117,   9.37494,   4.84979,  19.36012,   9.53983,   7.12885,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.26378,  64.00000,   5.13853,  10.88961,   0.61686,  18.74092,  10.35159,   5.14104,  18.78334,  10.29677,   7.29090,   0.00000,   0.00000,   0.00000,   1.00000,   0.26378,  64.00000,   4.09291, -10.75916,   0.62406,  18.90110,   9.37487,   4.84991,  19.36005,   9.53976,   7.12873,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.26793,  65.00000,   5.13861,  10.88952,   0.61691,  18.74084,  10.35150,   5.14109,  18.78325,  10.29669,   7.29085,   0.00000,   0.00000,   0.00000,   1.00000,   0.26793,  65.00000,   4.09281, -10.75921,   0.62417,  18.90120,   9.37492,   4.85002,  19.36015,   9.53981,   7.12862,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.27201,  66.00000,   5.13855,  10.88949,   0.61690,  18.74090,  10.35147,   5.14108,  18.78332,  10.29665,   7.29086,   0.00000,   0.00000,   0.00000,   1.00000,   0.27201,  66.00000,   4.09281, -10.75921,   0.62416,  18.90121,   9.37492,   4.85001,  19.36016,   9.53981,   7.12863,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.27627,  67.00000,   5.13855,  10.88942,   0.61680,  18.74091,  10.35140,   5.14098,  18.78332,  10.29659,   7.29096,   0.00000,   0.00000,   0.00000,   1.00000,   0.27627,  67.00000,   4.09271, -10.75927,   0.62404,  18.90131,   9.37498,   4.84989,  19.36026,   9.53987,   7.12875,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.28040,  68.00000,   5.13854,  10.88934,   0.61683,  18.74091,  10.35132,   5.14101,  18.78333,  10.29651,   7.29093,   0.00000,   0.00000,   0.00000,   1.00000,   0.28040,  68.00000,   4.09273, -10.75929,   0.62410,  18.90128,   9.37501,   4.84995,  19.36024,   9.53989,   7.12869,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.28467,  69.00000,   5.13847,  10.88928,   0.61673,  18.74099,  10.35126,   5.14090,  18.78340,  10.29644,   7.29104,   0.00000,   0.00000,   0.00000,   1.00000,   0.28467,  69.00000,   4.09286, -10.75929,   0.62397,  18.90116,   9.37501,   4.84982,  19.36011,   9.53989,   7.12882,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.28881,  70.00000,   5.13836,  10.88924,   0.61679,  18.74110,  10.35122,   5.14096,  18.78351,  10.29640,   7.29097,   0.00000,   0.00000,   0.00000,   1.00000,   0.28881,  70.00000,   4.09281, -10.75941,   0.62384,  18.90121,   9.37512,   4.84969,  19.36016,   9.54001,   7.12895,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.29291,  71.00000,   5.13835,  10.88910,   0.61687,  18.74111,  10.35108,   5.14104,  18.78352,  10.29626,   7.29089,   0.00000,   0.00000,   0.00000,   1.00000,   0.29291,  71.00000,   4.09279, -10.75948,   0.62379,  18.90122,   9.37519,   4.84964,  19.36018,   9.54008,   7.12900,   0.00000,   0.00000,   0.00000, 
